Source,Interaction,Target ,,,
go,Complement,gonna,,,
play,Complement,go,,,
some,Complement,with,,,
more,Complement,some,,,
put,Complement,will,,,
the,Complement,on,,,
farm,Complement,the,,,
Christmas,Complement,after,,,
grandma,Complement,and,,,
and,Complement,to,,,
grandpa,Complement,and,,,
Friday,Complement,on,,,
hours,Complement,on,,,
know,Complement,do,,,
think,Complement,but,,,
cousin,Complement,think,,,
gonna,Complement,'m,,,
color,Complement,gonna,,,
picture,Complement,a,,,
piece,Complement,a,,,
paper,Complement,of,,,
you,Complement,for,,,
want,Complement,make,,,
gonna,Complement,'m,,,
write,Complement,gonna,,,
use,Complement,did,,,
horse,Complement,a,,,
have,Complement,would,,,
do,Complement,to,,,
things,Complement,of,,,
going,Complement,am,,,
draw,Complement,to,,,
trying,Complement,'m,,,
think,Complement,to,,,
draw,Complement,wanna,,,
gonna,Complement,'m,,,
draw,Complement,gonna,,,
gonna,Complement,are,,,
draw,Complement,gonna,,,
a,Complement,of,,,
tree,Complement,a,,,
deer,Complement,a,,,
the,Complement,of,,,
tree,Complement,the,,,
horse,Complement,a,,,
tail,Complement,his,,,
everything,Complement,make,,,
add,Complement,just,,,
him,Complement,to,,,
gonna,Complement,'m,,,
draw,Complement,gonna,,,
deer,Complement,a,,,
gonna,Complement,'m,,,
draw,Complement,gonna,,,
branch,Complement,a,,,
doing,Complement,are,,,
the,Complement,over,,,
place,Complement,the,,,
sun,Complement,the,,,
side,Complement,this,,,
sun,Complement,the,,,
this,Complement,on,,,
side,Complement,this,,,
gonna,Complement,is,,,
get,Complement,gonna,,,
couple,Complement,a,,,
them,Complement,of,,,
the,Complement,in,,,
tree,Complement,the,,,
color,Complement,what,,,
gonna,Complement,was,,,
be,Complement,might,,,
use,Complement,could,,,
right,Complement,for,,,
seen,Complement,said,,,
dog,Complement,his,,,
frog,Complement,the,,,
a,Complement,on,,,
lilypad,Complement,a,,,
he,Complement,and,,,
the,Complement,and,,,
frog,Complement,the,,,
name,Complement,his,,,
was,Complement,and,,,
the,Complement,to,,,
store,Complement,the,,,
saw,Complement,and,,,
lady,Complement,a,,,
wind,Complement,the,,,
letters,Complement,the,,,
the,Complement,into,,,
street,Complement,the,,,
looked,Complement,and,,,
ways,Complement,both,,,
were,Complement,and,,,
cars,Complement,no,,,
ran,Complement,and,,,
cooking,Modifier,and,,,
with,Modifier,cooking,,,
and,Modifier,is,,,
cake,Modifier,mix,,,
cracked,Modifier,egg,,,
real,Modifier,easy,,,
easy,Modifier,cracked,,,
hanging,Modifier,coat,,,
on,Modifier,hanging,,,
on,Modifier,is,,,
of,Modifier,kind,,,
with,Modifier,swing,,,
all,Modifier,is,,,
just,Modifier,a,,,
little,Modifier,girl,,,
on,Modifier,pushing,,,
not,Modifier,do,,,
not,Modifier,do,,,
or,Modifier,do,,,
not,Modifier,do,,,
why,Modifier,is,,,
all,Modifier,this,,,
in,Modifier,is,,,
here,Modifier,is,,,
from,Modifier,is,,,
of,Modifier,kind,,,
chicken,Modifier,sandwich,,,
first,Modifier,drive,,,
there,Modifier,drive,,,
in,Modifier,drive,,,
then,Modifier,go,,,
in,Modifier,go,,,
ever,Modifier,what,,,
then,Modifier,go,,,
then,Modifier,eat,,,
then,Modifier,leave,,,
sort,Modifier,of,,,
of,Modifier,see,,,
through,Modifier,see,,,
like,Modifier,looks,,,
of,Modifier,kinds,,,
for,Modifier,looks,,,
in,Modifier,use,,,
through,Modifier,see,,,
so,Modifier,use,,,
not,Modifier,do,,,
of,Modifier,kind,,,
more,Modifier,soap,,,
on,Modifier,said,,,
first,Modifier,run,,,
bath,Modifier,water,,,
then,Modifier,get,,,
undressed,Modifier,get,,,
then,Modifier,get,,,
in,Modifier,get,,,
then,Modifier,get,,,
out,Modifier,get,,,
then,Modifier,dry,,,
off,Modifier,dry,,,
then,Modifier,get,,,
back,Modifier,get,,,
now,Modifier,do,,,
where,Modifier,do,,,
first,Modifier,'m,,,
all,Modifier,them,,,
out_of,Modifier,get,,,
in,Modifier,is,,,
on,Modifier,are,,,
away,Modifier,scared,,,
of,Modifier,are,,,
up,Modifier,picked,,,
then,Modifier,came,,,
back,Modifier,came,,,
down,Modifier,take,,,
here,Modifier,take,,,
back,Modifier,is,,,
at,Modifier,is,,,
in,Modifier,is,,,
too,Modifier,tall,,,
for,Modifier,is,,,
just,Modifier,pretend,,,
better,Modifier,call,,,
loose,Modifier,got,,,
again,Modifier,got,,,
darn,Modifier,monkey,,,
where,Modifier,pick,,,
up,Modifier,pick,,,
here,Modifier,come,,,
now,Modifier,is,,,
back,Modifier,is,,,
in,Modifier,is,,,
in,Modifier,go,,,
not,Modifier,can,,,
silly,Modifier,thing,,,
up,Modifier,stand,,,
in,Modifier,stand,,,
up,Modifier,here,,,
not,Modifier,do,,,
if,Modifier,can,,,
up,Modifier,stand,,,
here,Modifier,stand,,,
in,Modifier,is,,,
down,Modifier,is,,,
here,Modifier,is,,,
up,Modifier,stand,,,
over,Modifier,is,,,
here,Modifier,over,,,
in,Modifier,eating,,,
here,Modifier,in,,,
too,Modifier,eating,,,
if,Modifier,will,,,
ever,Modifier,will,,,
up,Modifier,stand,,,
with,Modifier,playing,,,
together,Modifier,are,,,
