Source,Interaction,Target 
or,Attribute,is
silly,Attribute,is
children,Attribute,is
a,Attribute,is
a,Attribute,is
paper,Attribute,is
and,Attribute,is
toys,Attribute,are
tub,Attribute,are
a,Attribute,is
one,Attribute,is
good,Attribute,is
quiet,Attribute,be
where,Attribute,is
done,Attribute,are
what,Attribute,was
my,Attribute,be
kind,Attribute,is
real,Attribute,is
long,Attribute,is
our,Attribute,is
done,Attribute,is
smaller,Attribute,is
crazy,Attribute,looks
the,Attribute,is
a,Attribute,is
funny,Attribute,looked
happy,Attribute,was
are,Complement,like
making,Complement,are
cake,Complement,a
a,Complement,or
dad,Complement,a
a,Complement,or
grandpa,Complement,a
a,Complement,and
girl,Complement,a
a,Complement,and
boy,Complement,a
kind,Complement,some
cake,Complement,or
or,Complement,of
something,Complement,or
boy,Complement,the
is,Complement,and
pouring,Complement,is
batter,Complement,the
a,Complement,into
bowl,Complement,a
are,Complement,and
making,Complement,are
else,Complement,something
picture,Complement,that
playing,Complement,and
a,Complement,on
slide,Complement,a
swinging,Complement,and
swings,Complement,in
is,Complement,and
park,Complement,a
trees,Complement,of
like,Complement,looks
a,Complement,like
bag,Complement,a
me,Complement,to
minute,Complement,a
thing,Complement,one
there,Complement,in
box,Complement,a
is,Complement,and
bag,Complement,a
a,Complement,and
napkin,Complement,a
some,Complement,and
straw+paper,Complement,some
cup,Complement,a
french+fry,Complement,box
set,Complement,another
silverware,Complement,of
the,Complement,in
plastic,Complement,the
lid,Complement,a
a,Complement,and
box,Complement,a
a,Complement,and
straw,Complement,a
lunch,Complement,for
put,Complement,can
trash,Complement,this
there,Complement,in
plastic,Complement,of
get,Complement,and
you,Complement,for
go,Complement,and
sit,Complement,go
go,Complement,and
lunch,Complement,your
dinner,Complement,your
get,Complement,and
sit,Complement,get
eat,Complement,and
done,Complement,are
wash+cloth,Complement,a
like,Complement,looks
fairly,Complement,a
an,Complement,and
box,Complement,an
something,Complement,of
powder,Complement,and
shampoo,Complement,and
soap,Complement,and
a,Complement,and
soap,Complement,a
bag,Complement,a
check,Complement,let
sort,Complement,of
the,Complement,in
bathroom,Complement,the
room,Complement,or
things,Complement,or
towels,Complement,these
rough,Complement,and
stiff,Complement,and
clothes,Complement,your
water,Complement,the
and,Complement,run
take,Complement,and
wash,Complement,in
get,Complement,and
put,Complement,and
your,Complement,or
pjs,Complement,your
something,Complement,or
that,Complement,like
barn,Complement,a
the,Complement,with
trough,Complement,the
bag,Complement,this
doing,Complement,is
there,Complement,in
horse,Complement,the
there,Complement,in
horse,Complement,the
fence,Complement,some
trough,Complement,a
the,Complement,for
horsie,Complement,the
eat,Complement,to
sheep,Complement,a
a,Complement,and
dog,Complement,a
a,Complement,and
cow,Complement,a
the,Complement,and
horse,Complement,the
the,Complement,and
cow,Complement,the
eat,Complement,to
jumping,Complement,started
yipping,Complement,and
scratching,Complement,and
eating,Complement,started
garden,Complement,the
cow,Complement,the
and,Complement,looked
the,Complement,and
horse,Complement,the
cow,Complement,the
horse,Complement,the
neighed,Complement,and
their,Complement,for
masters,Complement,their
eating,Complement,are
garden,Complement,my
garden,Complement,my
cabbage,Complement,that
one,Complement,my
plant,Complement,gotta
garden,Complement,a
again,Complement,all
worked,Complement,and
this,Complement,on
help,Complement,to
make,Complement,help
finish,Complement,make
garden,Complement,my
dirt,Complement,the
is,Complement,for
thing,Complement,one
dog,Complement,the
legs,Complement,on
planting,Complement,start
will,Complement,but
feed,Complement,will
chickens,Complement,the
sheep,Complement,the
eat,Complement,can
mind,Complement,would
helping,Complement,mind
plant,Complement,helping
garden,Complement,my
ate,Complement,and
go,Complement,to
and,Complement,decided
get,Complement,and
seeds,Complement,some
walk,Complement,and
get,Complement,and
more,Complement,some
there,Complement,on
the,Complement,all
seeds,Complement,the
go,Complement,let
old,Complement,the
monkey,Complement,the
garden,Complement,the
grew,Complement,and
a,Complement,into
garden,Complement,a
end,Complement,the
be,Complement,might
puff,Complement,my
a,Complement,of
animal,Complement,a
got,Complement,and
schnauzer,Complement,a
schnapps,Complement,named
mom,Complement,'s
call,Complement,would
fur,Complement,his
know,Complement,do
Aunt,Complement,an
is,Complement,but
aunt,Complement,our
know,Complement,do
to,Complement,supposed
draw,Complement,to
picture,Complement,a
draw,Complement,wanna
draw,Complement,wanna
picture,Complement,a
picture,Complement,a
anything,Complement,of
gonna,Complement,am
draw,Complement,gonna
picture,Complement,a
what,Complement,for
waiting,Complement,are
drawing,Complement,start
drawing,Complement,are
give,Complement,will
tail,Complement,a
tail,Complement,a
could,Complement,and
have,Complement,could
pushed,Complement,have
used,Complement,and
done,Complement,is
his,Complement,with
picture,Complement,his
know,Complement,do
couple,Complement,a
trees,Complement,of
it,Complement,around
white,Complement,the
make,Complement,wanna
sun,Complement,a
a,Complement,or
yellow,Complement,a
think,Complement,do
dad,Complement,'s
picture,Complement,of
holding,Complement,am
going,Complement,am
finish,Complement,to
part,Complement,that
her,Complement,on
face,Complement,her
see,Complement,can
eyes,Complement,her
draw,Complement,will
sky,Complement,the
a,Complement,and
sun,Complement,a
gonna,Complement,am
make,Complement,gonna
grass,Complement,some
some,Complement,with
flowers,Complement,some
gonna,Complement,am
make,Complement,gonna
rose,Complement,a
Bell,Complement,than
make,Complement,will
here,Complement,over
will,Complement,and
make,Complement,will
color,Complement,this
make,Complement,will
one,Complement,an
see,Complement,can
flower,Complement,the
her,Complement,on
back,Complement,her
turn,Complement,hafta
and,Complement,hafta
draw,Complement,and
leaves,Complement,the
done,Complement,am
a,Complement,without
mane,Complement,a
wind,Complement,the
day,Complement,some
day,Complement,a
boy,Complement,a
Max,Complement,named
day,Complement,one
dog,Complement,his
go,Complement,to
catching,Complement,go
think,Complement,do
frog,Complement,a
ran,Complement,and
did,Complement,and
see,Complement,did
tree,Complement,the
the,Complement,into
water,Complement,the
head,Complement,first
the,Complement,at
frog,Complement,the
frog,Complement,the
jumped,Complement,but
day,Complement,one
walking,Complement,was
school,Complement,from
lady,Complement,a
wind,Complement,the
blew,Complement,and
the,Complement,all
letters,Complement,the
blew,Complement,and
the,Complement,into
street,Complement,the
get,Complement,will
you,Complement,for
looked,Complement,and
ways,Complement,both
saw,Complement,and
coming,Complement,was
went,Complement,and
picked,Complement,and
the,Complement,all
letters,Complement,the
lady,Complement,the
get,Complement,to
letters,Complement,her
like,Modifier,looks
of,Modifier,kind
into,Modifier,pouring
then,Modifier,are
