Source,Interaction,Target ,,,
leg,Complement,a,,,
more,Complement,some,,,
show,Complement,can,,,
make,Complement,to,,,
triangle,Complement,a,,,
triangle,Complement,a,,,
one,Complement,a,,,
do,Complement,can,,,
gonna,Complement,'m,,,
gonna,Complement,'m,,,
put,Complement,gonna,,,
one,Complement,this,,,
work,Complement,does,,,
one,Complement,another,,,
gonna,Complement,'m,,,
put,Complement,gonna,,,
one,Complement,this,,,
work,Complement,does,,,
at,Modifier,look,,,
up,Modifier,standing,,,
up,Modifier,standing,,,
mommy,Modifier,pony,,,
daddy,Modifier,pony,,,
down,Modifier,falling,,,
's,Modifier,pony,,,
baby,Modifier,pony,,,
's,Modifier,pony,,,
mommy,Modifier,pony,,,
's,Modifier,pony,,,
daddy,Modifier,pony,,,
too,Modifier,is,,,
right,Modifier,there,,,
there,Modifier,sit,,,
how,Modifier,put,,,
bout,Modifier,how,,,
on,Modifier,put,,,
too,Modifier,put,,,
blue,Modifier,telephone,,,
at,Modifier,look,,,
back,Modifier,put,,,
on,Modifier,put,,,
back,Modifier,put,,,
on,Modifier,put,,,
on,Modifier,put,,,
at,Modifier,look,,,
for,Modifier,is,,,
little,Modifier,M,,,
for,Modifier,is,,,
in,Modifier,brushing,,,
but,Modifier,'m,,,
as,Modifier,doing,,,
at,Modifier,look,,,
on,Modifier,getting,,,
to,Modifier,getting,,,
on,Modifier,put,,,
in,Modifier,rub,,,
for,Modifier,write,,,
big,Modifier,letters,,,
big,Modifier,triangle,,,
like,Modifier,goes,,,
big,Modifier,birdie,,,
with,Modifier,a,,,
how,Modifier,to,,,
big,Modifier,triangle,,,
big,Modifier,one,,,
pink,Modifier,color,,,
back,Modifier,put,,,
in,Modifier,put,,,
not,Modifier,does,,,
not,Modifier,good,,,
too,Modifier,good,,,
back,Modifier,put,,,
back,Modifier,put,,,
in,Modifier,put,,,
not,Modifier,does,,,
too,Modifier,good,,,
good,Modifier,work,,,
em,Object,put,,,
Snuffles,Object,put,,,
that,Object,have,,,
these,Object,have,,,
em,Object,put,,,
these,Object,put,,,
it,Object,wear,,,
it,Object,put,,,
it,Object,wear,,,
it,Object,brushing,,,
this,Object,doing,,,
it,Object,rub,,,
some,Object,write,,,
a,Object,make,,,
an,Object,make,,,
me,Object,draw,,,
something,Object,draw,,,
hair,Object,making,,,
feet,Object,make,,,
a,Object,make,,,
some,Object,putting,,,
me,Object,show,,,
to,Object,show,,,
a,Object,make,,,
a,Object,make,,,
one,Object,do,,,
this,Object,put,,,
another,Object,try,,,
pink,Object,put,,,
this,Object,put,,,
ponys,Subject,standing,,,
they,Subject,are,,,
they,Subject,are,,,
this,Subject,is,,,
it,Subject,is,,,
this,Subject,is,,,
this,Subject,is,,,
this,Subject,is,,,
he,Subject,keeps,,,
this,Subject,is,,,
this,Subject,is,,,
I,Subject,'m,,,
I,Subject,can,,,
I,Subject,can,,,
you,Subject,can,,,
you,Subject,can,,,
I,Subject,can,,,
I,Subject,'m,,,
this,Subject,is,,,
it,Subject,is,,,
they,Subject,are,,,
this,Subject,is,,,
I,Subject,'m,,,
this,Subject,is,,,
some,Subject,getting,,,
this,Subject,is,,,
you,Subject,will,,,
daddy,Subject,make,,,
one,Subject,goes,,,
that,Subject,is,,,
you,Subject,can,,,
that,Subject,is,,,
you,Subject,can,,,
I,Subject,'m,,,
I,Subject,'m,,,
I,Subject,'m,,,
this,Subject,does,,,
yeah,,,,,
whoop,,,,,
alright,,,,,
yeah,,,,,
daddy,,,,,
daddy,,,,,
B,,,,,
J,,,,,
L,,,,,
Y,,,,,
X,,,,,
now,,,,,
not,,,,,
long,,,,,
orange,,,,,
okay,,,,,
