Source,Interaction,Target ,,,
mine,Attribute,is,,Age,3.1
daddy,Attribute,is,,complement,85
the,Attribute,is,,modifier,59
the,Attribute,is,,object,30
's,Attribute,is,,subject,37
pony,Attribute,is,,Attribute,16
pony,Attribute,is,,,
big,Attribute,is,,,
a,Attribute,is,,,
blocks,Attribute,are,,,
a,Attribute,is,,,
this,Attribute,is,,,
the,Attribute,is,,,
small,Attribute,is,,,
a,Attribute,is,,,
a,Attribute,is,,,
ponys,Complement,the,,,
all,Complement,at,,,
these,Complement,all,,,
ponys,Complement,these,,,
are,Complement,and,,,
standing,Complement,are,,,
are,Complement,and,,,
walking,Complement,are,,,
one,Complement,this,,,
is,Complement,and,,,
pony,Complement,the,,,
is,Complement,and,,,
pony,Complement,the,,,
is,Complement,and,,,
Katie,Complement,'s,,,
falling,Complement,keeps,,,
Katie,Complement,'s,,,
Katie,Complement,'s,,,
is,Complement,and,,,
Katie,Complement,'s,,,
gonna,Complement,'m,,,
sit,Complement,gonna,,,
the,Complement,on,,,
couch,Complement,the,,,
pony,Complement,my,,,
have,Complement,can,,,
telephone,Complement,that,,,
have,Complement,can,,,
ones,Complement,these,,,
this,Complement,at,,,
put,Complement,can,,,
put,Complement,can,,,
wear,Complement,can,,,
put,Complement,gonna,,,
me,Complement,on,,,
gonna,Complement,'m,,,
wear,Complement,gonna,,,
this,Complement,at,,,
brush,Complement,a,,,
my,Complement,for,,,
face,Complement,my,,,
M,Complement,a,,,
O,Complement,a,,,
chicken,Complement,a,,,
brushing,Complement,for,,,
doing,Complement,'m,,,
the,Complement,as,,,
brush,Complement,the,,,
is,Complement,and,,,
pan,Complement,the,,,
look,Complement,and,,,
this,Complement,at,,,
stuff,Complement,some,,,
it,Complement,on,,,
put,Complement,to,,,
my,Complement,on,,,
face,Complement,my,,,
write,Complement,will,,,
letters,Complement,some,,,
me,Complement,for,,,
triangle,Complement,a,,,
that,Complement,like,,,
draw,Complement,can,,,
birdie,Complement,a,,,
picture,Complement,a,,,
hair,Complement,with,,,
make,Complement,gonna,,,
